product_number,department_desc,avg_elasticity,total_orders,avg_discount
2244,MENS BRANDED CLOTHING,270215977642230.44,430,13.829942857142857
2259,MENS OWN BRAND OUTERWEAR,102954901994332.52,4793,10.178240197501951
2274,MENS OWN BRAND KNITWEAR,2.120765895995817,1812,23.110007042016804
2278,MENS OWN BRAND KNITWEAR,215630625113497.78,1363,47.50803996013289
2282,MENS OWN BRAND KNITWEAR,3.271590464116191,3082,18.491500116666668
2284,MENS OWN BRAND KNITWEAR,2.4272495285625872,1529,31.629242145772594
2285,MENS OWN BRAND KNITWEAR,1.2012205258772088,1353,22.12528281063123
2305,MENS OWN BRAND BOTTOMS,375299968947541.44,755,10.909071636904761
2308,MENS OWN BRAND BOTTOMS,145763827225161.1,1469,5.345595238095239
2309,MENS OWN BRAND BOTTOMS,204709073971386.22,800,5.339740259740261
2310,MENS OWN BRAND BOTTOMS,465889616624534.06,850,5.3566995073891635
2311,MENS OWN BRAND BOTTOMS,281474976710656.0,1741,5.345595238095239
2312,MENS OWN BRAND BOTTOMS,155296538874844.56,833,5.3566995073891635
2325,MENS OWN BRAND TOPS,1.4146721129560873,1827,23.746498658263306
2345,MENS BRANDED FOOTWEAR,11.4287109632797,472,37.02571428571429
2347,MENS OWN BRAND FOOTWEAR,130895663910128.64,2487,3.146891462184874
2350,MENS OWN BRAND FOOTWEAR,19.112842076028947,784,20.577181845559846
2362,MENS OWN BRAND FOOTWEAR,1.7144568515251766,380,25.636240680451127
2367,MENS OWN BRAND FOOTWEAR,121624989936702.89,2660,27.631958005291008
2371,MENS OWN BRAND FOOTWEAR,160842843834660.66,2438,9.456531147959184
2372,MENS OWN BRAND FOOTWEAR,95821268667457.45,4115,6.339939933130699
2373,MENS OWN BRAND FOOTWEAR,107228562556440.73,4983,12.953639836734695
2375,MENS OWN BRAND FOOTWEAR,138067102670236.6,5785,28.444781397707228
2384,MENS OWN BRAND FOOTWEAR,2.9755947100992852,405,40.35615653401361
2395,MENS BRANDED CLOTHING,1.0397534668721138,294,45.64164667554479
2398,MENS OWN BRAND FOOTWEAR,200159983438688.62,231,22.45476197142857
2402,MENS OWN BRAND FOOTWEAR,28.35223205996555,3939,8.874840037900874
2403,MENS BRANDED FOOTWEAR,259823055425221.1,279,7.9352386785714275
2411,MENS BRANDED FOOTWEAR,589757094060422.2,232,43.57833333333334
2436,MENS BRANDED CLOTHING,1.111322519204226,268,12.228571748571428
2437,MENS BRANDED CLOTHING,2.039463899982171,369,11.879699563909774
2439,MENS BRANDED CLOTHING,1.0527441568703142,1058,14.914285914285715
2444,MENS BRANDED CLOTHING,1.6188107065073476,887,30.46218487394958
2447,MENS BRANDED CLOTHING,1.0398271549475084,196,20.672268966386554
2452,MENS BRANDED CLOTHING,1.393939393939395,238,27.714285714285715
2455,MENS BRANDED CLOTHING,1.2045821873191762,207,8.609022977443608
2458,MENS BRANDED CLOTHING,1.2984768140595895,635,19.509804039215688
2489,MENS BRANDED FOOTWEAR,2.458953168045288,299,14.606850853896104
2495,MENS BRANDED FOOTWEAR,2.582815564736245,255,8.764221850707852
2499,MENS BRANDED FOOTWEAR,55599995399635.945,180,11.839841658730156
2512,MENS OWN BRAND TOPS,1.7283840077261279,1272,28.319327789915967
2514,MENS OWN BRAND TOPS,2.5422013239195738,2578,25.941008462184875
2520,MENS OWN BRAND TOPS,1.0461431965891792,4246,21.30672274789916
2522,MENS OWN BRAND TOPS,1.842544845678139,1431,38.37662337662337
