department_desc,avg_elasticity,total_orders,avg_discount,elastic_products_count,type,product_number
MENS OWN BRAND KNITWEAR,12.204953381689696,88,26.04705882352941,,product,268.0
MENS BRANDED CLOTHING,4.743227551932743,28,41.6195,,product,271.0
MENS BRANDED FOOTWEAR,1.1261158738588373,74,11.0,,product,273.0
MENS BRANDED FOOTWEAR,9.002537277922016,132,26.698225806451614,,product,274.0
MENS BRANDED FOOTWEAR,2.301068924075906,425,12.62059539170507,,product,275.0
MENS BRANDED FOOTWEAR,6.134162129681522,1356,19.7503935483871,,product,276.0
MENS BRANDED FOOTWEAR,3.4270782744045833,386,25.36024926686217,,product,277.0
MENS BRANDED FOOTWEAR,9.16009509357513,20,28.083333333333336,,product,280.0
MENS BRANDED FOOTWEAR,3.5280458538953416,52,47.22870967741936,,product,281.0
MENS BRANDED FOOTWEAR,2.1666666666666674,17,15.0,,product,283.0
MENS BRANDED FOOTWEAR,13.601531023368265,100,26.93548387096774,,product,285.0
MENS BRANDED FOOTWEAR,1.142857165000001,102,8.333333833333334,,product,287.0
MENS BRANDED FOOTWEAR,2.2325550272935377,75,25.357142857142858,,product,288.0
MENS BRANDED FOOTWEAR,70.00000000000026,40,7.333333333333333,,product,289.0
MENS BRANDED CLOTHING,2.0035075472771258,905,27.17888172043011,,product,290.0
MENS BRANDED FOOTWEAR,3.40344438170525,35,20.941000000000003,,product,298.0
MENS BRANDED FOOTWEAR,1.0392587639698156,12,13.5,,product,299.0
MENS BRANDED CLOTHING,9.853031634446385,85,20.535714285714285,,product,300.0
MENS OWN BRAND OUTERWEAR,18.405145151108865,248,45.294759856630826,,product,302.0
MENS OWN BRAND KNITWEAR,5.136995434158414,436,17.790166666666664,,product,303.0
MENS OWN BRAND KNITWEAR,2.8927132203849966,249,22.045454545454547,,product,304.0
MENS BRANDED CLOTHING,50.76457917966656,2024,15.83965844402277,,product,305.0
MENS OWN BRAND KNITWEAR,4.870421941363143,400,44.9564714204867,,product,306.0
MENS OWN BRAND KNITWEAR,5.288255634556613,68,22.997799999999998,,product,307.0
MENS OWN BRAND KNITWEAR,1.9747627017679779,669,9.548387096774194,,product,308.0
MENS BRANDED FOOTWEAR,5.452431289640593,65,21.091397849462368,,product,309.0
MENS BRANDED FOOTWEAR,2.342615012106538,16,13.333333333333334,,product,310.0
MENS OWN BRAND FOOTWEAR,89.06746031745959,0,44.385999999999996,,product,312.0
MENS BRANDED FOOTWEAR,1.0333333333333334,32,2.903225806451613,,product,314.0
MENS BRANDED FOOTWEAR,2.84320104098894,30,13.870967741935484,,product,315.0
MENS OWN BRAND OUTERWEAR,9.693897483981873,145,33.12655086848635,,product,316.0
MENS OWN BRAND OUTERWEAR,263.07747137800663,97,59.838,,product,317.0
MENS OWN BRAND OUTERWEAR,33.95293645366308,93,43.56442012288787,,product,318.0
MENS OWN BRAND OUTERWEAR,1.39565990574288,304,21.77258064516129,,product,319.0
MENS OWN BRAND OUTERWEAR,4.428571428571428,0,38.70967741935484,,product,322.0
MENS OWN BRAND KNITWEAR,1.917885605524404,75,15.09400921658986,,product,323.0
MENS OWN BRAND KNITWEAR,3.8250192149450917,1015,36.748007168458784,,product,324.0
MENS OWN BRAND OUTERWEAR,9.930719029966019,51,48.6875,,product,326.0
MENS BRANDED CLOTHING,6.9311224489795915,8,28.666666666666664,,product,330.0
MENS BRANDED CLOTHING,2.7184066059065946,128,15.01231552093596,,product,331.0
MENS BRANDED CLOTHING,1.9101061336186167,733,27.902457757296467,,product,332.0
MENS BRANDED CLOTHING,2.909128630705394,70,20.0,,product,333.0
MENS BRANDED CLOTHING,7.963367023938079,50,20.620689655172413,,product,336.0
MENS BRANDED CLOTHING,8.911770015872735,177,20.823655913978495,,product,337.0
MENS BRANDED CLOTHING,3.3658627087198525,96,40.0,,product,338.0
MENS BRANDED CLOTHING,1.905000171442856,907,24.401159003831417,,product,340.0
MENS BRANDED CLOTHING,6.911615045369603,94,11.9368458781362,,product,341.0
MENS BRANDED CLOTHING,2.9128068550254755,146,9.666666666666666,,product,342.0
MENS BRANDED CLOTHING,1.6995787150585917,37,5.0,,product,343.0
MENS BRANDED CLOTHING,1.0000001265306282,0,1e-06,,product,344.0
MENS BRANDED CLOTHING,18.27980769230769,413,40.0,,product,345.0
MENS BRANDED CLOTHING,1.512690355329949,48,10.0,,product,346.0
MENS BRANDED CLOTHING,1.6887501907060796,487,4.3019354838709685,,product,347.0
MENS BRANDED CLOTHING,20.5850130317518,259,20.78917050691244,,product,348.0
MENS BRANDED CLOTHING,5.697685548111623,65,25.05610752688172,,product,349.0
MENS BRANDED CLOTHING,1.8937500000000012,17,30.0,,product,350.0
MENS BRANDED CLOTHING,2.315955024817594,237,9.774193548387096,,product,352.0
MENS BRANDED CLOTHING,4.395369574230052,134,23.916666666666668,,product,353.0
MENS BRANDED CLOTHING,3.285551434359536,475,19.83225806451613,,product,354.0
MENS BRANDED CLOTHING,1.9375,0,14.516129032258064,,product,355.0
MENS BRANDED CLOTHING,2.069579886305864,455,24.516129032258064,,product,357.0
MENS BRANDED CLOTHING,2.0846300429728437,143,52.11538461538461,,product,358.0
MENS BRANDED CLOTHING,5.227686218914292,80,26.774193548387093,,product,359.0
MENS BRANDED CLOTHING,2.901755651755652,4,26.451612903225808,,product,360.0
MENS BRANDED CLOTHING,6.173018725974391,15,26.612903225806452,,product,361.0
MENS BRANDED CLOTHING,16.636009335406367,217,53.16810035842294,,product,362.0
MENS BRANDED CLOTHING,2.3529480307234723,4,18.637903225806454,,product,363.0
MENS BRANDED CLOTHING,2.2972423201220766,45,31.123655913978492,,product,364.0
MENS BRANDED CLOTHING,22.52178933027412,20,29.03225839784946,,product,365.0
MENS BRANDED CLOTHING,5.2130785229133725,1635,34.92900811937678,,product,366.0
MENS BRANDED CLOTHING,37.2727272727274,35,41.096774193548384,,product,367.0
MENS BRANDED CLOTHING,10.482594981556087,132,29.655778801843315,,product,368.0
MENS BRANDED CLOTHING,6.4032199379150425,379,31.29459677419355,,product,369.0
MENS BRANDED CLOTHING,2.60436169163391,155,13.666,,product,370.0
MENS BRANDED CLOTHING,3.176238417880334,577,38.62903225806451,,product,372.0
MENS BRANDED CLOTHING,173.76101267760987,72,47.922252688172044,,product,373.0
MENS BRANDED CLOTHING,1.2162843613553902,86,8.709677419354838,,product,374.0
MENS BRANDED CLOTHING,1.000000029880003,0,1e-06,,product,375.0
MENS BRANDED CLOTHING,4.351648351648352,25,1.1111111111111112,,product,376.0
MENS BRANDED CLOTHING,1.988729955045625,17,15.829166666666667,,product,377.0
MENS BRANDED FOOTWEAR,6.298807704549298,20,31.711469534050178,,product,378.0
MENS OWN BRAND BOTTOMS,64.74930259873683,20,54.818666666666665,,product,380.0
MENS BRANDED FOOTWEAR,2.0510333193303363,32,16.779516129032256,,product,382.0
MENS BRANDED FOOTWEAR,2.3067251048196367,295,20.952380952380953,,product,383.0
MENS OWN BRAND FOOTWEAR,1.66722873477412,416,32.14603896103896,,product,384.0
MENS OWN BRAND OUTERWEAR,2.5128205128205106,165,17.5,,product,391.0
MENS OWN BRAND OUTERWEAR,6.00905121270375,345,24.52188940092166,,product,393.0
MENS OWN BRAND OUTERWEAR,1.9581776940470388,139,4.285714285714286,,product,394.0
MENS BRANDED CLOTHING,3.945802057481518,20,24.403392857142855,,product,397.0
MENS OWN BRAND OUTERWEAR,6.1592171632846195,186,31.415,,product,398.0
MENS OWN BRAND OUTERWEAR,26.725122876228365,155,28.57,,product,399.0
MENS OWN BRAND TOPS,3.745196136611062,41,23.115967741935485,,product,400.0
MENS OWN BRAND TOPS,3.3611631815947205,525,32.79330645161291,,product,401.0
MENS OWN BRAND TOPS,3.8129632616729765,65,9.485161290322582,,product,402.0
MENS OWN BRAND TOPS,2.0893336415179,92,11.76,,product,403.0
MENS OWN BRAND TOPS,2.5117797561449104,25,4.916667166666667,,product,404.0
MENS OWN BRAND TOPS,22.76086956521739,204,16.166666666666668,,product,405.0
MENS OWN BRAND TOPS,8.732860538705781,1056,18.844074074074072,,product,406.0
MENS OWN BRAND TOPS,2.223510305012995,46,20.759375,,product,407.0
MENS OWN BRAND TOPS,2.2191911628012626,70,19.275612903225806,,product,408.0
MENS OWN BRAND TOPS,1.7441739585442397,656,13.056939068100357,,product,409.0
MENS OWN BRAND TOPS,3.3888635335290305,76,11.299769585253456,,product,410.0
MENS OWN BRAND TOPS,5.054685728069012,20,17.82137931034483,,product,411.0
MENS OWN BRAND TOPS,80.87576204503453,358,16.813301075268818,,product,412.0
MENS BRANDED FOOTWEAR,6.131683311282297,42,20.64516129032258,,product,413.0
